SID,entry,timepoint,evaluation,replacement
5f6c102b6ec04317fc9a8127,goal,0.0,REPLACE,golf
5f6c102b6ec04317fc9a8127,basketball,1.4,FOUND,basketball
5f6c102b6ec04317fc9a8127,baseball,0.0,FOUND,baseball
5f6c102b6ec04317fc9a8127,boxing,0.0,FOUND,boxing
5f6c102b6ec04317fc9a8127,volleyball,0.0,FOUND,volleyball
5f6c102b6ec04317fc9a8127,swimming,0.0,FOUND,swimming
5f6c102b6ec04317fc9a8127,hockey,1.7,FOUND,hockey
5f6c102b6ec04317fc9a8127,tournament in bowling,0.0,EXCLUDE,EXCLUDE
5f6c102b6ec04317fc9a8127,table tennis,3.5,FOUND,table tennis
5f6c102b6ec04317fc9a8127,archery,0.0,FOUND,archery
5f6c102b6ec04317fc9a8127,skiing,2.3,FOUND,skiing
5f6c102b6ec04317fc9a8127,softball,10.3,REPLACE,football
5f6c102b6ec04317fc9a8127,kickball,3.0,EXCLUDE,EXCLUDE
5f6c102b6ec04317fc9a8127,rugby,8.5,FOUND,rugby
5f6c102b6ec04317fc9a8127,skateboarding,11.5,FOUND,skateboarding
5f6c102b6ec04317fc9a8127,bobsleigh,9.09999999999999,REPLACE,bobsledding
5f6c102b6ec04317fc9a8127,cycling,4.09999999999999,FOUND,cycling
5f6c102b6ec04317fc9a8127,handball,6.19999999999999,REPLACE,baseball
5f6c102b6ec04317fc9a8127,surfing,8.89999999999999,FOUND,surfing
5f6c102b6ec04317fc9a8127,weightlifting,5.09999999999999,FOUND,weightlifting
5e7fefe06c12706d47e35211,basketball,0.0,FOUND,basketball
5e7fefe06c12706d47e35211,hockey,0.0,FOUND,hockey
5e7fefe06c12706d47e35211,soccer,0.0,FOUND,soccer
5e7fefe06c12706d47e35211,football,0.0,FOUND,football
5e7fefe06c12706d47e35211,water pool,0.0,REPLACE,water polo
5e7fefe06c12706d47e35211,running,1.3,REPLACE,rowing
5e7fefe06c12706d47e35211,Pilates,2.1,REPLACE,pilates
5e7fefe06c12706d47e35211,cheerleading,0.0,EXCLUDE,EXCLUDE
5e7fefe06c12706d47e35211,Gymnastics,2.1,REPLACE,gymnastics
5e7fefe06c12706d47e35211,shotput,5.2,REPLACE,shot put
5e7fefe06c12706d47e35211,dancing,12.3,REPLACE,ice dancing
5e7fefe06c12706d47e35211,Turtles,11.8,EXCLUDE,EXCLUDE
5e7fefe06c12706d47e35211,Joplin,1.9,EXCLUDE,EXCLUDE
5e7fefe06c12706d47e35211,volleyball,1.2,FOUND,volleyball
5e7fefe06c12706d47e35211,swimming,11.5,FOUND,swimming
5e7fefe06c12706d47e35211,diving,0.0,REPLACE,ice diving
5e7fefe06c12706d47e35211,wrestling,4.7,FOUND,wrestling
5e7fefe06c12706d47e35211,cycling,3.8,FOUND,cycling
5e7fefe06c12706d47e35211,boxing,13.5,FOUND,boxing
5e7fefe06c12706d47e35211,golf,0.0,FOUND,golf
5e7fefe06c12706d47e35211,karate,0.0,FOUND,karate
5e7fefe06c12706d47e35211,tennis,0.0,FOUND,tennis
5e7fefe06c12706d47e35211,lacrosse,10.3,EXCLUDE,EXCLUDE
5e7fefe06c12706d47e35211,skiing,5.5,FOUND,skiing
5e7fefe06c12706d47e35211,snowboard,0.0,REPLACE,snowboarding
60fcf1a04c245326d05076e0,baseball,0.0,FOUND,baseball
60fcf1a04c245326d05076e0,basketball,0.0,FOUND,basketball
60fcf1a04c245326d05076e0,football,0.0,FOUND,football
60fcf1a04c245326d05076e0,soccer,0.0,FOUND,soccer
60fcf1a04c245326d05076e0,volleyball,5.9,FOUND,volleyball
60fcf1a04c245326d05076e0,softball,0.0,REPLACE,football
60fcf1a04c245326d05076e0,Cricket,1.5,REPLACE,cricket
60fcf1a04c245326d05076e0,curling,0.0,FOUND,curling
60fcf1a04c245326d05076e0,snowboarding,3.9,FOUND,snowboarding
60fcf1a04c245326d05076e0,skiing,0.0,FOUND,skiing
60fcf1a04c245326d05076e0,swimming,0.0,FOUND,swimming
60fcf1a04c245326d05076e0,ice skating,0.0,FOUND,ice skating
60fcf1a04c245326d05076e0,Javelin,8.1,EXCLUDE,EXCLUDE
60fcf1a04c245326d05076e0,long jump,0.0,FOUND,long jump
60fcf1a04c245326d05076e0,high jump,5.59999999999999,FOUND,high jump
60fcf1a04c245326d05076e0,diving,16.2,REPLACE,ice diving
60fcf1a04c245326d05076e0,synchronized swimming,7.1,FOUND,synchronized swimming
60fcf1a04c245326d05076e0,weightlifting,7.7,FOUND,weightlifting
60fcf1a04c245326d05076e0,running,7.90000000000001,REPLACE,rowing
5ed9311e1a69d449577bb8cf,soccer,0.0,FOUND,soccer
5ed9311e1a69d449577bb8cf,football,0.5,FOUND,football
5ed9311e1a69d449577bb8cf,tennis,0.0,FOUND,tennis
5ed9311e1a69d449577bb8cf,rugby,0.0,FOUND,rugby
5ed9311e1a69d449577bb8cf,darts,0.0,EXCLUDE,EXCLUDE
5ed9311e1a69d449577bb8cf,bowling,1.0,REPLACE,rowing
5ed9311e1a69d449577bb8cf,curling track,4.5,EXCLUDE,EXCLUDE
5ed9311e1a69d449577bb8cf,javelin throw,3.0,FOUND,javelin throw
5ed9311e1a69d449577bb8cf,water polo,5.7,FOUND,water polo
5ed9311e1a69d449577bb8cf,hockey,0.0,FOUND,hockey
5ed9311e1a69d449577bb8cf,baseball,1.2,FOUND,baseball
5ed9311e1a69d449577bb8cf,football,13.7,FOUND,football
5ed9311e1a69d449577bb8cf,Futsal,4.1,EXCLUDE,EXCLUDE
5ed9311e1a69d449577bb8cf,volleyball,0.899999999999999,FOUND,volleyball
5ed9311e1a69d449577bb8cf,racing,2.4,REPLACE,rafting
5ed9311e1a69d449577bb8cf,F1 racing,5.7,EXCLUDE,EXCLUDE
5ed9311e1a69d449577bb8cf,horse racing,45.5,FOUND,horse racing
5ed9311e1a69d449577bb8cf,Billiards,6.40000000000001,EXCLUDE,EXCLUDE
5c1942e200849900010afdcd,soccer,0.0,FOUND,soccer
5c1942e200849900010afdcd,football,1.0,FOUND,football
5c1942e200849900010afdcd,rugby,0.0,FOUND,rugby
5c1942e200849900010afdcd,baseball,0.0,FOUND,baseball
5c1942e200849900010afdcd,Cricket,0.0,REPLACE,cricket
5c1942e200849900010afdcd,tennis,0.0,FOUND,tennis
5c1942e200849900010afdcd,pickleball,0.0,EXCLUDE,EXCLUDE
5c1942e200849900010afdcd,softball,2.2,REPLACE,football
5c1942e200849900010afdcd,volleyball,0.0,FOUND,volleyball
5c1942e200849900010afdcd,curling,0.0,FOUND,curling
5c1942e200849900010afdcd,recent,1.7,EXCLUDE,EXCLUDE
5c1942e200849900010afdcd,track,0.0,EXCLUDE,EXCLUDE
5c1942e200849900010afdcd,swimming,0.0,FOUND,swimming
5c1942e200849900010afdcd,ski,2.0,REPLACE,skiing
5c1942e200849900010afdcd,snowboard,0.0,REPLACE,snowboarding
5c1942e200849900010afdcd,skateboarding,1.4,FOUND,skateboarding
5c1942e200849900010afdcd,water skating,3.0,REPLACE,ice skating
5c1942e200849900010afdcd,voting,0.0,REPLACE,shooting
5c1942e200849900010afdcd,surfing,1.4,FOUND,surfing
5c1942e200849900010afdcd,skydiving,11.2,REPLACE,skiing
5c1942e200849900010afdcd,basketball,4.3,FOUND,basketball
5c1942e200849900010afdcd,hockey,0.899999999999999,FOUND,hockey
5c1942e200849900010afdcd,ice hockey,0.0,FOUND,ice hockey
5c1942e200849900010afdcd,badminton,2.9,FOUND,badminton
5c1942e200849900010afdcd,lacrosse,32.9,EXCLUDE,EXCLUDE
5c1942e200849900010afdcd,frisbee,6.5,EXCLUDE,EXCLUDE
5c1942e200849900010afdcd,golf,0.0,FOUND,golf
5c1942e200849900010afdcd,hunting,5.89999999999999,REPLACE,shooting
