SID,entry,timepoint,evaluation,replacement
63ea4ab1ce4168cbe9f63775,Uber,0.0,REPLACE,uber
63ea4ab1ce4168cbe9f63775,Lyft,1.4,REPLACE,lyft
63ea4ab1ce4168cbe9f63775,bicycle,2.2,FOUND,bicycle
63ea4ab1ce4168cbe9f63775,electric scooter,1.3,FOUND,electric scooter
63ea4ab1ce4168cbe9f63775,Zipcar,3.0,REPLACE,zipcar
63ea4ab1ce4168cbe9f63775,motorized scooter,1.8,FOUND,motorized scooter
63ea4ab1ce4168cbe9f63775,motorcycle,1.2,FOUND,motorcycle
63ea4ab1ce4168cbe9f63775,truck,1.5,FOUND,truck
63ea4ab1ce4168cbe9f63775,airplane,1.7,FOUND,airplane
63ea4ab1ce4168cbe9f63775,Subway,1.4,REPLACE,subway
63ea4ab1ce4168cbe9f63775,train,1.5,FOUND,train
63ea4ab1ce4168cbe9f63775,high-speed train,1.3,FOUND,high-speed train
63ea4ab1ce4168cbe9f63775,ship,4.1,FOUND,ship
63ea4ab1ce4168cbe9f63775,cruise ship,1.9,FOUND,cruise ship
63ea4ab1ce4168cbe9f63775,ferry,2.5,FOUND,ferry
63ea4ab1ce4168cbe9f63775,hand cart,14.5,FOUND,hand cart
63ea4ab1ce4168cbe9f63775,incline,1.69999999999999,FOUND,incline
63ea4ab1ce4168cbe9f63775,bus,7.5,FOUND,bus
63ea4ab1ce4168cbe9f63775,Public bus,1.8,REPLACE,public bus
63ea4ab1ce4168cbe9f63775,ambulance,2.2,FOUND,ambulance
63ea4ab1ce4168cbe9f63775,shuttle,2.09999999999999,FOUND,shuttle
63ea4ab1ce4168cbe9f63775,van,5.0,FOUND,van
65d54b3b524fcafb543d1b23,car,0.0,FOUND,car
65d54b3b524fcafb543d1b23,truck,1.4,FOUND,truck
65d54b3b524fcafb543d1b23,bus,1.3,FOUND,bus
65d54b3b524fcafb543d1b23,school bus,0.0,FOUND,school bus
65d54b3b524fcafb543d1b23,Uber,1.3,REPLACE,uber
65d54b3b524fcafb543d1b23,lyft,1.2,FOUND,lyft
65d54b3b524fcafb543d1b23,bicycle,4.1,FOUND,bicycle
65d54b3b524fcafb543d1b23,skateboard,4.1,FOUND,skateboard
65d54b3b524fcafb543d1b23,scooter,1.4,FOUND,scooter
65d54b3b524fcafb543d1b23,electric scooter,0.0,FOUND,electric scooter
65d54b3b524fcafb543d1b23,boat,7.5,FOUND,boat
65d54b3b524fcafb543d1b23,Ferry,0.0,REPLACE,ferry
65d54b3b524fcafb543d1b23,carriage,14.7,FOUND,carriage
65d54b3b524fcafb543d1b23,horse,38.9,FOUND,horse
65d54b3b524fcafb543d1b23,ski,9.39999999999999,FOUND,ski
65d54b3b524fcafb543d1b23,ski,0.0,FOUND,ski
65d54b3b524fcafb543d1b23,ski dogs,0.0,FOUND,ski dogs
60a48adfe091e410f4eaba34,car,0.0,FOUND,car
60a48adfe091e410f4eaba34,bus,0.0,FOUND,bus
60a48adfe091e410f4eaba34,train,0.0,FOUND,train
60a48adfe091e410f4eaba34,plane,0.0,FOUND,plane
60a48adfe091e410f4eaba34,private jet,0.0,FOUND,private jet
60a48adfe091e410f4eaba34,walking,1.7,FOUND,walking
60a48adfe091e410f4eaba34,bicycle,0.0,FOUND,bicycle
60a48adfe091e410f4eaba34,boat,0.0,FOUND,boat
60a48adfe091e410f4eaba34,hang glider,11.4,FOUND,hang glider
60a48adfe091e410f4eaba34,Segway,1.3,REPLACE,segway
60a48adfe091e410f4eaba34,scooter,1.5,FOUND,scooter
60a48adfe091e410f4eaba34,paddle board,3.2,FOUND,paddle board
60a48adfe091e410f4eaba34,running,3.59999999999999,FOUND,running
60a48adfe091e410f4eaba34,swimming,3.6,FOUND,swimming
60a48adfe091e410f4eaba34,Taxi,9.8,REPLACE,taxi
60a48adfe091e410f4eaba34,carpooling,25.2,FOUND,carpooling
65cc19b4b3d48a22dfc6756d,foot,0.0,FOUND,foot
65cc19b4b3d48a22dfc6756d,car,0.0,FOUND,car
65cc19b4b3d48a22dfc6756d,train,0.0,FOUND,train
65cc19b4b3d48a22dfc6756d,bus,0.9,FOUND,bus
65cc19b4b3d48a22dfc6756d,airplane,1.3,FOUND,airplane
65cc19b4b3d48a22dfc6756d,boat,1.7,FOUND,boat
