SID,entry,timepoint,evaluation,replacement
65e358d9c5e3ee026268b2a7,Columbus Day,10.1,REPLACE,columbus day
65e358d9c5e3ee026268b2a7,Juneteenth,8.40000000000001,REPLACE,juneteenth
65e358d9c5e3ee026268b2a7,President's Day,13.2,REPLACE,president's day
65e358d9c5e3ee026268b2a7,Presidents Day,1.3,REPLACE,presidents day
65e862f844f1b7a803bb3c5a,Christmas,0.0,REPLACE,christmas
65e862f844f1b7a803bb3c5a,New Year,1.0,REPLACE,new year
65e862f844f1b7a803bb3c5a,Veterans Day,0.0,REPLACE,veterans day
65e862f844f1b7a803bb3c5a,Thansgiving day,1.7,REPLACE,thansgiving day
65e862f844f1b7a803bb3c5a,Independence Day,0.6,REPLACE,independence day
65e862f844f1b7a803bb3c5a,Labor day,0.700000000000001,REPLACE,labor day
65e862f844f1b7a803bb3c5a,Memorial Day,-0.199999999999999,REPLACE,memorial day
65e862f844f1b7a803bb3c5a,veteran's day,1.0,FOUND,veteran's day
65e862f844f1b7a803bb3c5a,Columbus Day,0.699999999999999,REPLACE,columbus day
65e862f844f1b7a803bb3c5a,Memorial Day,1.2,REPLACE,memorial day
65e862f844f1b7a803bb3c5a,Martin Luther King Day,1.0,REPLACE,martin luther king day
65e862f844f1b7a803bb3c5a,Juneteenth,1.7,REPLACE,juneteenth
65e862f844f1b7a803bb3c5a,democracy day,1.2,FOUND,democracy day
65e862f844f1b7a803bb3c5a,Easter day,8.3,REPLACE,easter day
65e862f844f1b7a803bb3c5a,Inauguration Day,9.2,REPLACE,inauguration day
65cc19b4b3d48a22dfc6756d,Christmas,0.0,REPLACE,christmas
65cc19b4b3d48a22dfc6756d,New Year's,0.0,REPLACE,new year's
65cc19b4b3d48a22dfc6756d,Valentine's Day,0.0,REPLACE,valentine's day
65cc19b4b3d48a22dfc6756d,St. Partrick's day,-1.6,REPLACE,st. partrick's day
65cc19b4b3d48a22dfc6756d,presidents day,0.5,FOUND,presidents day
65cc19b4b3d48a22dfc6756d,Labor Day,0.0,REPLACE,labor day
65cc19b4b3d48a22dfc6756d,Mother's Day,11.8,REPLACE,mother's day
65cc19b4b3d48a22dfc6756d,Father's Day,0.0,REPLACE,father's day
65cc19b4b3d48a22dfc6756d,4th of July,0.0,REPLACE,4th of july
65cc19b4b3d48a22dfc6756d,Martin Luther King Day,5.0,REPLACE,martin luther king day
65cc19b4b3d48a22dfc6756d,Thanksgiving,6.0,REPLACE,thanksgiving
65cc19b4b3d48a22dfc6756d,Halloween,0.0,REPLACE,halloween
65cc19b4b3d48a22dfc6756d,Easter,1.2,REPLACE,easter
65cc19b4b3d48a22dfc6756d,April Fool's,2.4,REPLACE,april fool's
65cc19b4b3d48a22dfc6756d,Hanukkah,35.4,REPLACE,hanukkah
65cb63e160bb47fbf9349269,New Year's Day,0.0,REPLACE,new year's day
65cb63e160bb47fbf9349269,Martin Luther King Day,0.0,REPLACE,martin luther king day
65cb63e160bb47fbf9349269,Presidents Day,0.0,REPLACE,presidents day
65cb63e160bb47fbf9349269,Valentine's Day,0.0,REPLACE,valentine's day
65cb63e160bb47fbf9349269,St patrick's day,3.0,REPLACE,st patrick's day
65cb63e160bb47fbf9349269,Easter,0.0,REPLACE,easter
65cb63e160bb47fbf9349269,Ramadan,1.6,REPLACE,ramadan
65cb63e160bb47fbf9349269,Mother's Day,4.3,REPLACE,mother's day
65cb63e160bb47fbf9349269,Father's Day,2.1,REPLACE,father's day
65cb63e160bb47fbf9349269,Memorial Day,0.0,REPLACE,memorial day
65cb63e160bb47fbf9349269,4th of July,0.0,REPLACE,4th of july
65cb63e160bb47fbf9349269,Independence Day,0.0,REPLACE,independence day
65cb63e160bb47fbf9349269,Labor Day,0.0,REPLACE,labor day
65cb63e160bb47fbf9349269,Halloween,2.6,REPLACE,halloween
65cb63e160bb47fbf9349269,Veterans Day,1.4,REPLACE,veterans day
65cb63e160bb47fbf9349269,indigenous peoples day,1.4,FOUND,indigenous peoples day
65cb63e160bb47fbf9349269,Thanksgiving Day,4.9,REPLACE,thanksgiving day
65cb63e160bb47fbf9349269,Black Friday,0.0,REPLACE,black friday
65cb63e160bb47fbf9349269,Christmas,1.7,REPLACE,christmas
65cb63e160bb47fbf9349269,Hanukkah,0.0,REPLACE,hanukkah
65cb63e160bb47fbf9349269,Kwanzaa,0.0,REPLACE,kwanzaa
65cb63e160bb47fbf9349269,Yom Kippur,2.3,REPLACE,yom kippur
65cb63e160bb47fbf9349269,Rosh Hashanah,3.6,REPLACE,rosh hashanah
65cb63e160bb47fbf9349269,Parents Day,4.09999999999999,REPLACE,parents day
65cb63e160bb47fbf9349269,Children's Day,0.0,REPLACE,children's day
