SID,entry,evaluation,replacement
65e1f75ab3efd22e847cfbf0,soccer,EXCLUDE,EXCLUDE
65e1f75ab3efd22e847cfbf0,yoga,EXCLUDE,EXCLUDE
65e1f75ab3efd22e847cfbf0,golf,EXCLUDE,EXCLUDE
65e1f75ab3efd22e847cfbf0,walking,REPLACE,baking
65e1f75ab3efd22e847cfbf0,basketball,EXCLUDE,EXCLUDE
65e1f75ab3efd22e847cfbf0,Pilates,REPLACE,philately
65e1f75ab3efd22e847cfbf0,swimming,REPLACE,sewing
65e1f75ab3efd22e847cfbf0,football,EXCLUDE,EXCLUDE
65e1f75ab3efd22e847cfbf0,bowling,REPLACE,boxing
65e1f75ab3efd22e847cfbf0,hockey,EXCLUDE,EXCLUDE
65e1f75ab3efd22e847cfbf0,surfing,REPLACE,windsurfing
65e1f75ab3efd22e847cfbf0,tennis,EXCLUDE,EXCLUDE
65e1f75ab3efd22e847cfbf0,baseball,EXCLUDE,EXCLUDE
65e1f75ab3efd22e847cfbf0,dancing,REPLACE,tap dancing
65e1f75ab3efd22e847cfbf0,karate,FOUND,karate
65e1f75ab3efd22e847cfbf0,cheerleading,EXCLUDE,EXCLUDE
65e1f75ab3efd22e847cfbf0,waterskiing,REPLACE,water skiing
65e1f75ab3efd22e847cfbf0,weightlifting,EXCLUDE,EXCLUDE
65e1f75ab3efd22e847cfbf0,boxing,FOUND,boxing
65e1f75ab3efd22e847cfbf0,board games,FOUND,board games
65e1f75ab3efd22e847cfbf0,running track,EXCLUDE,EXCLUDE
65e1f75ab3efd22e847cfbf0,oil painting,FOUND,oil painting
65e1f75ab3efd22e847cfbf0,doodling,REPLACE,cooking
65e1f75ab3efd22e847cfbf0,sculpture,REPLACE,sculpting
65e1f75ab3efd22e847cfbf0,wood,EXCLUDE,EXCLUDE
65e1f75ab3efd22e847cfbf0,burning,REPLACE,hunting
65e1f75ab3efd22e847cfbf0,last,EXCLUDE,EXCLUDE
65e1f75ab3efd22e847cfbf0,painting,FOUND,painting
65e1f75ab3efd22e847cfbf0,calligraphy,FOUND,calligraphy
65e1f75ab3efd22e847cfbf0,candle making,FOUND,candle making
65e1f75ab3efd22e847cfbf0,stargazing,FOUND,stargazing
65e1f75ab3efd22e847cfbf0,poetry writing,EXCLUDE,EXCLUDE
65e1f75ab3efd22e847cfbf0,jewelry making,FOUND,jewelry making
65e1f75ab3efd22e847cfbf0,crochet,REPLACE,crocheting
65e1f75ab3efd22e847cfbf0,quilting,FOUND,quilting
65e1f75ab3efd22e847cfbf0,acting,REPLACE,boating
63e802622f8052bd67d6c5f0,fishing,FOUND,fishing
63e802622f8052bd67d6c5f0,bicycling,REPLACE,pickling
63e802622f8052bd67d6c5f0,running,EXCLUDE,EXCLUDE
63e802622f8052bd67d6c5f0,gaming,REPLACE,camping
63e802622f8052bd67d6c5f0,reading,REPLACE,beading
63e802622f8052bd67d6c5f0,Walking,REPLACE,baking
63e802622f8052bd67d6c5f0,biking,REPLACE,iking
63e802622f8052bd67d6c5f0,skateboarding,REPLACE,wakeboarding
63e802622f8052bd67d6c5f0,rollerblading,EXCLUDE,EXCLUDE
63e802622f8052bd67d6c5f0,ice skating,EXCLUDE,EXCLUDE
63e802622f8052bd67d6c5f0,football,EXCLUDE,EXCLUDE
63e802622f8052bd67d6c5f0,basketball,EXCLUDE,EXCLUDE
63e802622f8052bd67d6c5f0,baseball,EXCLUDE,EXCLUDE
63e802622f8052bd67d6c5f0,hockey,EXCLUDE,EXCLUDE
63e802622f8052bd67d6c5f0,sightseeing,EXCLUDE,EXCLUDE
63e802622f8052bd67d6c5f0,running,EXCLUDE,EXCLUDE
63e802622f8052bd67d6c5f0,bowling,REPLACE,boxing
63e802622f8052bd67d6c5f0,racing,REPLACE,drawing
65cc19b4b3d48a22dfc6756d,draawinf,REPLACE,drawing
65cc19b4b3d48a22dfc6756d,painting,FOUND,painting
65cc19b4b3d48a22dfc6756d,sculpting,FOUND,sculpting
65cc19b4b3d48a22dfc6756d,gardening,FOUND,gardening
65cc19b4b3d48a22dfc6756d,DIY Projects,EXCLUDE,EXCLUDE
65cc19b4b3d48a22dfc6756d,thrifting,REPLACE,whittling
65cc19b4b3d48a22dfc6756d,bird watching,REPLACE,birdwatching
65cc19b4b3d48a22dfc6756d,puzzle making,REPLACE,pizza making
65cc19b4b3d48a22dfc6756d,hiking,FOUND,hiking
65cc19b4b3d48a22dfc6756d,playing video games,EXCLUDE,EXCLUDE
65cc19b4b3d48a22dfc6756d,sewing,FOUND,sewing
65cc19b4b3d48a22dfc6756d,knitting,FOUND,knitting
